id,name_zh,name_en,source_page,original_image_url,author,license,license_url,public_domain,commercial_use_allowed,attribution_required,modified,local_main_path,local_thumb_path,download_date,notes
P070,圣女贞德,Joan of Arc,https://commons.wikimedia.org/wiki/File:Joan_of_Arc_miniature_graded.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Joan_of_Arc_miniature_graded.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Derived from original commons upload at which is now in the history version: 01:39, 13. 8. 2005 Colour-graded to reveal more detail using GIMP software ""curves"" tool",Public Domain,,true,true,false,true,./portraits/P070/main.webp,./portraits/P070/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q7226 P18; source 1812x2700; crop=(0, 6, 1812, 2271); face_detected=True; main=166538 bytes; thumb=23628 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P071,达·芬奇,Leonardo da Vinci,https://commons.wikimedia.org/wiki/File:Francesco_Melzi_-_Portrait_of_Leonardo.png,https://upload.wikimedia.org/wikipedia/commons/c/cb/Francesco_Melzi_-_Portrait_of_Leonardo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Attributed to Francesco Melzi,Public Domain,,true,true,false,true,./portraits/P071/main.webp,./portraits/P071/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q762 P18; source 1286x1842; crop=(0, 42, 1286, 1650); face_detected=False; main=122398 bytes; thumb=10146 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P072,米开朗基罗,Michelangelo,https://commons.wikimedia.org/wiki/File:Michelangelo_Daniele_da_Volterra_(dettaglio).jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Attributed to Daniele da Volterra,Public Domain,,true,true,false,true,./portraits/P072/main.webp,./portraits/P072/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q5592 P18; source 1382x1600; crop=(102, 0, 1382, 1600); face_detected=True; main=93886 bytes; thumb=8556 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P073,拉斐尔,Raphael,https://commons.wikimedia.org/wiki/File:Raffaello_Sanzio.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Raffaello_Sanzio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Raphael,Public Domain,,true,true,false,true,./portraits/P073/main.webp,./portraits/P073/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q5597 P18; source 3898x5315; crop=(0, 0, 1920, 2400); face_detected=True; main=46488 bytes; thumb=4596 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P074,马基雅维利,Niccolò Machiavelli,https://commons.wikimedia.org/wiki/File:Portrait_of_Niccol%C3%B2_Machiavelli_by_Santi_di_Tito.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Portrait_of_Niccol%C3%B2_Machiavelli_by_Santi_di_Tito.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Santi di Tito,Public Domain,,true,true,false,true,./portraits/P074/main.webp,./portraits/P074/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q1399 P18; source 1244x1600; crop=(0, 45, 1244, 1600); face_detected=True; main=32846 bytes; thumb=5688 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P075,伽利略,Galileo Galilei,https://commons.wikimedia.org/wiki/File:Galileo.arp.300pix.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Galileo.arp.300pix.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Justus Sustermans,Public Domain,,true,true,false,true,./portraits/P075/main.webp,./portraits/P075/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q307 P18; source 1180x1448; crop=(0, 0, 1158, 1448); face_detected=True; main=114542 bytes; thumb=10722 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P076,牛顿,Isaac Newton,https://commons.wikimedia.org/wiki/File:GodfreyKneller-IsaacNewton-1689.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/GodfreyKneller-IsaacNewton-1689.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,James Thronill after Sir Godfrey Kneller,Public Domain,,true,true,false,true,./portraits/P076/main.webp,./portraits/P076/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q935 P18; source 1364x1916; crop=(0, 0, 1364, 1705); face_detected=True; main=85946 bytes; thumb=6722 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P077,莎士比亚,William Shakespeare,https://commons.wikimedia.org/wiki/File:Shakespeare.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Attributed to John Taylor,Public Domain,,true,true,false,true,./portraits/P077/main.webp,./portraits/P077/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q692 P18; source 2400x3059; crop=(0, 47, 1920, 2447); face_detected=True; main=79568 bytes; thumb=5646 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P078,伊丽莎白一世,Elizabeth I of England,https://commons.wikimedia.org/wiki/File:Elizabeth1England.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Elizabeth1England.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Attributed to William Segar / Attributed to George Gower / Formerly attributed to Nicholas Hilliard,Public Domain,,true,true,false,true,./portraits/P078/main.webp,./portraits/P078/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q7207 P18; source 1266x1536; crop=(37, 0, 1266, 1536); face_detected=True; main=142880 bytes; thumb=21866 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P079,彼得大帝,Peter the Great,"https://commons.wikimedia.org/wiki/File:Inconnu_d%27apr%C3%A8s_J.-M._Nattier,_Portrait_de_Pierre_Ier_(mus%C3%A9e_de_l%E2%80%99Ermitage).jpg",https://upload.wikimedia.org/wikipedia/commons/d/d6/Inconnu_d%27apr%C3%A8s_J.-M._Nattier%2C_Portrait_de_Pierre_Ier_%28mus%C3%A9e_de_l%E2%80%99Ermitage%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Attributed to Jean-Marc Nattier,Public Domain,,true,true,false,true,./portraits/P079/main.webp,./portraits/P079/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q8479 P18; source 2831x3738; crop=(0, 135, 1920, 2535); face_detected=True; main=73918 bytes; thumb=8762 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P080,叶卡捷琳娜二世,Catherine II of Russia,"https://commons.wikimedia.org/wiki/File:Catherine_II_after_Roslin,_Rokotov_(1780s,_Kunsthistorisches_Museum).jpg",https://upload.wikimedia.org/wikipedia/commons/7/72/Catherine_II_after_Roslin%2C_Rokotov_%281780s%2C_Kunsthistorisches_Museum%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,After Alexander Roslin,Public Domain,,true,true,false,true,./portraits/P080/main.webp,./portraits/P080/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q36450 P18; source 1132x1350; crop=(4, 0, 1084, 1350); face_detected=True; main=62118 bytes; thumb=9752 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P081,乔治·华盛顿,George Washington,https://commons.wikimedia.org/wiki/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gilbert Stuart,Public Domain,,true,true,false,true,./portraits/P081/main.webp,./portraits/P081/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q23 P18; source 4628x5619; crop=(0, 0, 1865, 2331); face_detected=True; main=25190 bytes; thumb=2940 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P082,托马斯·杰斐逊,Thomas Jefferson,"https://commons.wikimedia.org/wiki/File:Official_Presidential_portrait_of_Thomas_Jefferson_(by_Rembrandt_Peale,_1800)(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/b/b1/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Rembrandt Peale,Public Domain,,true,true,false,true,./portraits/P082/main.webp,./portraits/P082/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q11812 P18; source 732x900; crop=(0, 0, 720, 900); face_detected=True; main=55282 bytes; thumb=4338 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P083,本杰明·富兰克林,Benjamin Franklin,https://commons.wikimedia.org/wiki/File:Joseph_Siffrein_Duplessis_-_Benjamin_Franklin_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Joseph_Siffrein_Duplessis_-_Benjamin_Franklin_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Joseph-Siffred Duplessis,Public Domain,,true,true,false,true,./portraits/P083/main.webp,./portraits/P083/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q34969 P18; source 6396x7801; crop=(12, 0, 1886, 2342); face_detected=True; main=32088 bytes; thumb=5590 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P084,亚伯拉罕·林肯,Abraham Lincoln,https://commons.wikimedia.org/wiki/File:Abraham_Lincoln_O-77_matte_collodion_print.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Alexander Gardner,Public Domain,,true,true,false,true,./portraits/P084/main.webp,./portraits/P084/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q91 P18; source 2200x2835; crop=(0, 0, 1920, 2400); face_detected=True; main=49140 bytes; thumb=6124 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P085,拿破仑,Napoleon,https://commons.wikimedia.org/wiki/File:Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jacques-Louis David,Public Domain,,true,true,false,true,./portraits/P085/main.webp,./portraits/P085/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q517 P18; source 3079x5135; crop=(346, 160, 1574, 1697); face_detected=True; main=59274 bytes; thumb=9524 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Manual upper-body crop prevents a false face detection from removing Napoleon's head."
P086,俾斯麦,Otto von Bismarck,"https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_146-2005-0057,_Otto_von_Bismarck.jpg",https://upload.wikimedia.org/wikipedia/commons/1/10/Bundesarchiv_Bild_146-2005-0057%2C_Otto_von_Bismarck.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jacques Pilartz,Public Domain,,true,true,false,true,./portraits/P086/main.webp,./portraits/P086/thumb.webp,2026-09-07,"Identity verified through exact enwiki page and Wikidata Q8442 P18; source 531x789; crop=(0, 125, 531, 789); face_detected=True; main=40778 bytes; thumb=6754 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
